"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR066C",28.0757581162318,-2.97657657890846,0.684301544996049,-4.34980251129734,1.36260191209303e-05,9.14793728143446e-05
"YOR161C",481.089864189841,-2.91782440581948,0.234277563375978,-12.4545618614653,1.32074808829566e-35,3.78012005481674e-33
"YDR274C",11.9685157548472,-2.91759001012425,1.01397284314306,-2.8773847641525,0.00400986336598416,0.0130338535470543
"YCR010C",10.7472939965889,-2.90003274969204,1.09113449433666,-2.65781419682372,0.00786492404316071,0.0232251101438898
"YNL335W",31.1809999305182,-2.88531770572063,0.641025145065763,-4.5010991034129,6.76029743428408e-06,4.85634048185427e-05
"YER179W",36.4787190469181,-2.88261329914541,0.600543371182486,-4.80000852139866,1.58658879371436e-06,1.32940983978716e-05
"YMR319C",490.5707511072,-2.84664538192272,0.258749827812184,-11.0015353671616,3.75680221246704e-28,6.00867365629288e-26
"YPL182C",7.60904699077266,-2.83629218018957,1.40917844202852,-2.0127274840415,0.0441433063600219,0.0976226173810213
"YGR131W",17.4831625132712,-2.81355972313589,0.838260064188482,-3.35642820567826,0.000789562175192072,0.00323631112195765
"YJR095W",9.42732406290818,-2.80834720545853,1.13078897277084,-2.48352899885207,0.0130087742118823,0.0353885513577869
"YGR230W",28.5943348854921,-2.7814606416173,0.666486629091366,-4.17331799350471,3.00195488489193e-05,0.000185718210057364
"YBR180W",55.156505364843,-2.77027520339126,0.494725039373006,-5.59962602034898,2.14814724580478e-08,2.78797726078434e-07
"YBR092C",460.87638979537,-2.76639935135031,0.235465283764497,-11.7486506168661,7.17555109248657e-32,1.500794109267e-29
"YKL188C",89.8238135876451,-2.76586281594772,0.431263317194542,-6.4133968869419,1.42312383763584e-10,2.70592567449781e-09
"YFR017C",38.0043670565624,-2.75525014623489,0.582630432918999,-4.72898425925159,2.25645875086777e-06,1.82327231608008e-05
"YGR138C",254.873725817205,-2.72551428175487,0.274951502484125,-9.91270917645646,3.66568926404291e-23,3.21516422868796e-21
"YDR281C",12.0174897863743,-2.68960708470066,1.03555989840147,-2.59724916815767,0.00939737275622556,0.0269814746823414
"YDL247W",63.2432410451675,-2.68444648163639,0.456801921141073,-5.87660943923079,4.18754602688527e-09,6.22182385087488e-08
"YER106W",6.61179899337529,-2.67232431787012,1.33311136606185,-2.00457695125985,0.0450082927369171,0.0991714326999008
"YNL160W",389.249480678547,-2.67180021143794,0.244752777312867,-10.9163223427801,9.63173034702881e-28,1.45492637853174e-25
"YPR200C",17.3128095446771,-2.66522650297809,0.825478725898542,-3.22870404694798,0.001243525115452,0.0047554779028326
"YLR356W",83.5429375885543,-2.65280123935461,0.409636616838331,-6.47598659472763,9.41944105490528e-11,1.84920290456949e-09
"YMR195W",381.491051111951,-2.64881612184145,0.249864970414237,-10.6009902766687,2.9484148678733e-26,3.72871629104535e-24
"YLR178C",154.202490019027,-2.64387340191484,0.338981688553189,-7.79945787986123,6.21736869555054e-15,2.22909752471292e-13
"YBR214W",370.252635325588,-2.5979901608586,0.283886474017206,-9.15151089833587,5.61427480650704e-20,3.46936663611196e-18
"YOR050C",7.60469104201635,-2.589354058893,1.24762239353477,-2.07543089344272,0.0379466174670562,0.0862145634005176
"YLR303W",301.138414906891,-2.57534266809579,0.272656712396023,-9.44536683313048,3.54161580580156e-21,2.40741334399361e-19
"YOR020W-A",17.9366419805508,-2.57392332168633,0.849713735887199,-3.02916525057566,0.00245230504479995,0.00854130150678157
"YBR026C",315.422564278639,-2.57358626594092,0.251947587692726,-10.2147684346145,1.702852482029e-24,1.71483551801364e-22
"YMR035W",63.0574597685838,-2.56502890466391,0.458805829524768,-5.59066328193949,2.26203858147584e-08,2.91492080712456e-07
"YIL111W",87.1086257127351,-2.56111528353075,0.422003526069125,-6.06894285312497,1.28754947282824e-09,2.05932177448234e-08
"YGR088W",386.315795078013,-2.55646485628363,0.256995769277427,-9.94749782640947,2.58603505239058e-23,2.30538665818032e-21
"YOR339C",7.39729029019699,-2.55256109265903,1.24368672177939,-2.05241484688925,0.0401293628560978,0.0902122675533112
"YGR161W-C",10.5723378016118,-2.54998726721302,1.02188367245213,-2.49537920602453,0.012582258663171,0.0343658074386357
"YMR148W",34.7517954310616,-2.53608937377173,0.662230624248978,-3.82961657299955,0.000128343075090271,0.000661544684683313
"YNL333W",27.7736525157126,-2.53286686472547,0.648845585478205,-3.90365122521212,9.47522992630913e-05,0.000508148918533225
"YDL222C",36.4535897231441,-2.52790586761558,0.592414758033066,-4.26712169698258,1.98011154328643e-05,0.00012755262324488
"YPR201W",47.5055439606979,-2.51709365864576,0.563650877689228,-4.46569633487482,7.98087436478086e-06,5.65104098902061e-05
"YBR117C",92.108528278012,-2.51203903157769,0.410385559605364,-6.12116818631075,9.28917907359324e-10,1.53539683289362e-08
"YHR160C",34.8549750091851,-2.51203516853335,0.637942235524475,-3.93771571883482,8.2260969163007e-05,0.000447616276326513
"YGL096W",104.134029876467,-2.49514730601536,0.382220413855377,-6.52803255809215,6.66392135598036e-11,1.34715257746547e-09
"YIR032C",19.8344169321768,-2.49462380545154,0.751424404343735,-3.3198599766403,0.000900626085159369,0.00361180284004178
"YOL015W",71.0215796733039,-2.4838725830232,0.432413523092647,-5.74420653003264,9.23530131210415e-09,1.28947209166943e-07
"YMR206W",10.7693339280286,-2.47598768610276,1.0188637664845,-2.43014597981626,0.015092742559286,0.0399777564721858
"YOR152C",119.389546286784,-2.47266993801813,0.342599828124992,-7.21737063194327,5.30023768283327e-13,1.41983706991366e-11
"YDL214C",23.8360098465873,-2.47152042870401,0.68927991439216,-3.58565566339405,0.000336232370596458,0.00156276207803721
"YEL023C",91.4169003311334,-2.45896241637871,0.380400522586006,-6.46414047925698,1.01876198398395e-10,1.98567299960743e-09
"YOR388C",29.9799198036238,-2.45226413269949,0.617213791681652,-3.97311946970286,7.09374463556644e-05,0.000396360828727643
"YHR055C",17.7164237569661,-2.44358266324731,0.823883702165933,-2.96593154692015,0.00301767647713303,0.0102435235222531
"YBR050C",20.7923940881123,-2.43852701780937,0.726134754986981,-3.35822931082963,0.000784435088668629,0.00322430688751323
"YGL263W",19.8045463305858,-2.43423852456305,1.01222109060715,-2.40484865129904,0.0161791648266538,0.0424011076276352
"YEL028W",22.4068979237602,-2.42858872178302,0.7260436036293,-3.34496262985192,0.000822936576986413,0.00335466949449184
"YGR019W",330.452021512792,-2.42403453822907,0.251962462837265,-9.62061773381964,6.54369872393458e-22,4.68218863957319e-20
"YIL024C",18.3162145756029,-2.41891697968863,0.782281180193491,-3.09213239552859,0.00198724195609364,0.00715521865677569
"YOR374W",439.305016842826,-2.41355692355138,0.238601253567435,-10.1154410861854,4.71886625997721e-24,4.50196398627299e-22
"YMR034C",73.1198826647273,-2.41286394020854,0.449891555477893,-5.36321233601617,8.17548056483264e-08,9.07311496154283e-07
"YNR056C",110.086955479361,-2.41052317814352,0.354851608177734,-6.79304566357259,1.09790609366643e-11,2.51916174572068e-10
"YNL202W",23.2315944385724,-2.39957030683753,0.692230245332016,-3.46643378127261,0.000527411630489537,0.00228531031601761
"YIL101C",48.8546369125876,-2.39282916884804,0.495821750331284,-4.82598669229269,1.39311811040668e-06,1.18928984056382e-05
"YBR046C",152.798935484146,-2.39268813257178,0.315240779852582,-7.59003366788612,3.19822377189197e-14,9.99536831698191e-13
"YHL028W",97.6597116359032,-2.37796551912461,0.436478814363917,-5.44806629982725,5.09203785857639e-08,6.04596110806515e-07
"YER190W",712.448961253262,-2.36941652642984,0.230716760907717,-10.2698066543053,9.6397660575797e-25,1.00809707348305e-22
"YOR273C",766.514318269786,-2.35465464475396,0.213136315866195,-11.0476463627728,2.25037495490108e-28,3.70834515295518e-26
"YPR014C",15.3514666316842,-2.35299421258321,0.838031286085642,-2.80776416304671,0.0049886745840298,0.0156630556512437
"YER053C",207.754365587824,-2.35008743225397,0.303263420212509,-7.74932707217761,9.23807909113771e-15,3.17953633529157e-13
"YDR223W",112.402155709306,-2.34636552698782,0.346851243279717,-6.76476031857725,1.33530067814369e-11,3.02556878656057e-10
"YIL166C",89.3486891680997,-2.33285766659567,0.396351066148741,-5.88583673878703,3.96045122418301e-09,5.90052979646773e-08
"YPL018W",335.598588397275,-2.3183999674591,0.244795736306614,-9.47075305492753,2.778334034093e-21,1.91247854144275e-19
"YFL021W",142.306621358275,-2.30887017362286,0.324658728545161,-7.11168365615555,1.14635781989565e-12,2.96852086885361e-11
"YLR267W",214.538404779416,-2.30154636667961,0.275298257550625,-8.36019227712104,6.2616119176417e-17,2.79103652525701e-15
"YDL246C",12.8796571708569,-2.2916300713328,0.905825066692317,-2.52988149213053,0.0114101058040837,0.0317381868862442
"YPL054W",10.6213808875233,-2.28146650945137,0.98767374355487,-2.30993941505404,0.020891508531121,0.0527918324313365
"YHR029C",192.762317490407,-2.2640995150318,0.284198176165327,-7.96662225486874,1.63070157044863e-15,6.33411081435691e-14
"YHR104W",284.463721406445,-2.26268984735297,0.281647093123883,-8.03377667511631,9.45171696783885e-16,3.80729162008205e-14
"YNL098C",500.618551922991,-2.23882048906227,0.220285041211035,-10.1632887859937,2.8915477242479e-24,2.85895209535638e-22
"YLR177W",184.244604162219,-2.23122887160691,0.293188512213345,-7.61021929120914,2.73631250959646e-14,8.73939045437126e-13
"YIL094C",521.949122615147,-2.22330139588302,0.231360918514753,-9.60966705248127,7.27839533916329e-22,5.14024855251558e-20
"YLL055W",94.3586165774418,-2.21760339414995,0.389917091870119,-5.68737159870034,1.29009534420034e-08,1.74515882630882e-07
"YER079W",79.807872961094,-2.21216276121643,0.466527403432816,-4.74176381695657,2.11865532966256e-06,1.72406442471401e-05
"YER010C",112.788211903184,-2.20875983562525,0.349866991477198,-6.31314153501448,2.73427215347425e-10,4.97290032461303e-09
