GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YGL203C,159.6067762,1.247261937,0.334510167,13.82550184,0.000200595,0.009568734
YCR065W,93.82212082,1.250429931,0.440305543,8.06803049,0.004505306,0.08024443
YHR155W,86.52618094,1.251749505,0.452786968,7.53290504,0.006058214,0.099530418
YNL066W,323.4041814,1.251846969,0.350000419,12.70297292,0.000365075,0.01438606
YDL192W,623.7452957,1.26098427,0.283176152,19.76082346,8.78E-06,0.000822318
YMR307W,3462.937926,1.268047321,0.277565107,20.70712924,5.35E-06,0.00053893
YJL039C,361.9275208,1.273958276,0.296851375,18.34858432,1.84E-05,0.001471104
YPL231W,3434.925697,1.297738343,0.433769471,8.878767816,0.002885062,0.061285027
YLR413W,1230.269819,1.297804796,0.34130261,14.34362443,0.000152295,0.007812998
YML017W,110.0649965,1.312427674,0.408992502,10.27742582,0.001346677,0.035207834
YJL171C,388.503471,1.321349716,0.401917792,10.6925863,0.001075657,0.03015167
YMR229C,915.7256812,1.323141664,0.377474726,12.20626724,0.000476292,0.017500527
YDL066W,649.1410876,1.328318138,0.312030817,18.02902408,2.18E-05,0.001666345
YCL064C,560.1581377,1.331294411,0.427568329,10.54268642,0.001166487,0.032037166
YGR157W,512.0091345,1.346733461,0.2991397,20.13892296,7.20E-06,0.000699328
YOL004W,327.0975846,1.354289357,0.284347713,22.60550182,1.99E-06,0.000234403
YDL055C,2981.056302,1.360096495,0.293138636,21.33731748,3.85E-06,0.0004189
YLL024C,12364.42838,1.367030434,0.300028147,20.57113697,5.75E-06,0.000568082
YMR070W,88.41977005,1.373636446,0.474776417,8.193976471,0.00420297,0.077740648
YLR367W,235.9512546,1.39544908,0.440386732,10.02413432,0.001545023,0.038190153
YLR134W,344.9816313,1.398250335,0.378768173,13.54016284,0.000233512,0.010369339
YJR009C,15780.22813,1.434347877,0.3212782,19.73052587,8.92E-06,0.000822318
YLR259C,2139.837176,1.439353971,0.362390797,15.61885544,7.75E-05,0.005137109
YNR016C,2310.726742,1.445189772,0.437062283,10.82977217,0.000998809,0.028777968
YDR382W,2762.371297,1.467205673,0.457649471,10.16727554,0.001429554,0.036497243
YDL160C,285.4402796,1.468634893,0.306470333,22.85921585,1.74E-06,0.000215433
YMR266W,191.1370147,1.480253119,0.361004532,16.69964838,4.38E-05,0.003052887
YMR196W,84.91108056,1.481906437,0.525545621,8.301123703,0.003962056,0.076097583
YOR043W,183.4045788,1.485770972,0.431259905,12.16209199,0.000487706,0.017799649
YBL042C,166.9203619,1.488112304,0.354613771,17.63696025,2.67E-05,0.001991514
YLR286C,809.6803949,1.491530622,0.362535806,16.87023519,4.00E-05,0.002863846
YGL066W,61.8677767,1.49878869,0.491353027,9.115267979,0.002534848,0.056726356
YKL101W,153.9719111,1.499877425,0.363381477,16.95524963,3.83E-05,0.002774928
YJL082W,90.47911981,1.507163013,0.408683983,13.51672356,0.000236447,0.010369339
YAL035W,1211.245187,1.507758234,0.501143433,8.958747432,0.002761442,0.059890344
YDR097C,105.7413822,1.518782312,0.386005792,15.33814557,8.99E-05,0.005554369
YOL125W,95.31155583,1.528122071,0.513602502,8.523354563,0.003506176,0.069658729
YDR213W,67.6394699,1.539083045,0.4817068,10.04270949,0.001529521,0.037979604
YLR249W,17939.61426,1.551806661,0.319684354,23.2866776,1.40E-06,0.000176499
YNL190W,526.7589801,1.564816817,0.308722638,25.41601869,4.62E-07,6.98E-05
YDR309C,71.94564382,1.58388412,0.524559808,8.915524474,0.002827566,0.060536629
YOR204W,1096.161511,1.614564059,0.281243623,32.62357532,1.12E-08,3.04E-06
YKR095W,156.7528199,1.620864275,0.533154885,9.206076568,0.002412131,0.054428085
YPL160W,1890.512764,1.627954064,0.287851811,31.63951011,1.86E-08,4.81E-06
YDL171C,665.9471091,1.629896334,0.450357474,12.94758017,0.000320335,0.01290358
YGL195W,1096.629766,1.63099998,0.370076443,19.21241571,1.17E-05,0.001029336
YGR204W,948.6269339,1.631785358,0.259434422,39.15019523,3.92E-10,1.64E-07
YGR240C,2911.006489,1.638430022,0.297776865,29.90253538,4.54E-08,1.02E-05
YBR162C,908.2504754,1.654477931,0.375028174,19.20578546,1.17E-05,0.001029336
YDR046C,359.7121785,1.662814982,0.321426562,26.41720478,2.75E-07,4.53E-05
YML056C,1675.51842,1.662863655,0.308685773,28.65625428,8.64E-08,1.81E-05
YGL253W,2202.105619,1.666169175,0.247793646,44.70050759,2.30E-11,1.39E-08
YHR192W,81.67910738,1.671951484,0.534725308,9.631309797,0.001912881,0.045031382
YBL101C,85.26689565,1.7098542,0.495905544,11.73506888,0.000613333,0.020588306
YML123C,3313.261282,1.716222681,0.32903341,26.96156801,2.08E-07,3.76E-05
YKL176C,89.19609619,1.733908046,0.485349851,12.66565087,0.000372435,0.014570509
YDR356W,48.08267172,1.768263187,0.631713,7.715729459,0.005474174,0.092814144
YMR121C,450.2636594,1.774426687,0.454112835,14.98586586,0.000108319,0.006268116
YMR205C,2647.329592,1.786164304,0.250174266,50.26891149,1.34E-12,1.46E-09
YPL128C,102.5357903,1.850936496,0.403651427,20.79488447,5.11E-06,0.000524504
YLL021W,168.5695232,1.856809785,0.471776326,15.30030448,9.17E-05,0.005603079
YMR186W,6841.397347,1.865983605,0.269711241,47.08423128,6.80E-12,5.28E-09
YPL240C,1752.197154,1.871413994,0.495436585,14.03027371,0.000179891,0.008961412
YDL185W,2288.252351,1.87775385,0.298549063,38.93158001,4.39E-10,1.70E-07
YOR350C,72.44385249,1.878696206,0.619664235,9.091305436,0.002568275,0.057238848
YDL054C,58.33617746,1.881529543,0.547162583,12.34500679,0.000442168,0.016757246
YJL042W,85.41432978,1.894255507,0.446769918,18.1154779,2.08E-05,0.001615122
YEL034W,3835.061622,1.917757823,0.282580516,45.28902758,1.70E-11,1.16E-08
YCR005C,1439.735486,1.943317366,0.377414289,26.50901578,2.62E-07,4.46E-05
YJR137C,115.916662,1.951428497,0.402633657,23.59887274,1.19E-06,0.000156256
YGR061C,1545.916119,1.999322816,0.270364885,53.84214265,2.17E-13,2.95E-10
YCL037C,425.284366,2.037245759,0.333019947,36.95489921,1.21E-09,4.38E-07
YLL013C,152.72285,2.041214165,0.44139409,21.2127813,4.11E-06,0.000438254
YJR109C,318.7827513,2.053653815,0.401818705,25.88689091,3.62E-07,5.62E-05
YDL112W,231.1574297,2.083714245,0.354078419,34.2327722,4.89E-09,1.48E-06
YER037W,68.04829733,2.130132462,0.666662352,11.77422292,0.000600566,0.02029636
YPR065W,160.3623857,2.155166192,0.369050138,33.63135467,6.66E-09,1.91E-06
YGL206C,1217.747698,2.242529009,0.366272759,36.70393617,1.38E-09,4.67E-07
YIL011W,59.5949764,2.251399577,0.762873919,8.983955445,0.002723604,0.059481769
YMR189W,301.7496862,2.260252939,0.417412924,29.83651448,4.70E-08,1.02E-05
YOL130W,180.9795435,2.262331089,0.43674431,26.7213697,2.35E-07,4.12E-05
YBR022W,28.24063839,2.372523207,0.835756178,8.8598312,0.002915145,0.061444032
YBR208C,50.6800201,2.416091471,0.664383443,14.96988051,0.000109241,0.006268116
YJL079C,131.4820805,2.456544958,0.81692693,9.934614404,0.001621994,0.039685547
YER125W,309.8176314,2.49637929,0.3105664,63.72576518,1.43E-15,2.59E-12
YIL123W,1014.961564,2.583579236,0.462523913,30.29442216,3.71E-08,9.05E-06
YCL005W-A,32.155039,2.681978439,0.78993485,11.5164715,0.000689822,0.022328882
YDR400W,58.40564423,2.803683399,0.641781812,21.47983177,3.58E-06,0.000396829
